"brand","model","fuel_type","new_price","used_price","drop_percent"
volvo,xc90 momentum,gasoline,55833.0,20981.0,62.42
cadillac,escalade esv platinum,gasoline,126923.0,48148.0,62.07
cadillac,escalade base,gasoline,108188.0,41539.0,61.6
bmw,"530 530i xdrive",gasoline,62980.0,24495.0,61.11
porsche,cayenne s,gasoline,99227.0,39381.0,60.31
bmw,x6 m sports activity coupe,gasoline,119999.0,49995.0,58.34
kia,forte,gasoline,35000.0,14741.0,57.88
porsche,cayenne base (tiptronic),gasoline,85542.0,36977.0,56.77
infiniti,qx60 base,gasoline,58984.0,25557.0,56.67
land rover,range rover sport se,gasoline,108285.0,47994.0,55.68
ford,transit-150 base,gasoline,71679.0,31809.0,55.62
infiniti,q50 base,gasoline,42498.0,18997.0,55.3
mercedes-benz,s-class 4matic,gasoline,115621.0,51718.0,55.27
gmc,yukon xl sle,gasoline,63151.0,28736.0,54.5
bmw,"740 i xdrive",gasoline,75912.0,34821.0,54.13
porsche,cayenne base,gasoline,84576.0,38908.0,54.0
cadillac,escalade esv luxury,gasoline,90689.0,41940.0,53.75
bmw,"750 i xdrive",gasoline,90603.0,41958.0,53.69
cadillac,escalade esv premium luxury,gasoline,102062.0,47407.0,53.55
bmw,"740 i",gasoline,75538.0,35122.0,53.5
bmw,"530 530i",gasoline,56330.0,26327.0,53.26
gmc,yukon xl slt,gasoline,74422.0,35055.0,52.9
porsche,cayenne platinum edition,gasoline,84829.0,40160.0,52.66
mitsubishi,outlander,gasoline,34426.0,16357.0,52.49
cadillac,escalade premium luxury,gasoline,101799.0,48555.0,52.3
bmw,"330 330i xdrive",gasoline,44997.0,21473.0,52.28
mercedes-benz,gls 450,gasoline,84587.0,40600.0,52.0
mercedes-benz,gls 450 base 4matic,gasoline,83044.0,39984.0,51.85
porsche,cayenne gts,gasoline,126083.0,60735.0,51.83
porsche,cayenne,gasoline,85032.0,40990.0,51.79
bmw,m760 i xdrive,gasoline,124348.0,60438.0,51.4
bmw,"750 750i xdrive",gasoline,90317.0,43995.0,51.29
bmw,x6 m base,gasoline,114038.0,55704.0,51.15
nissan,armada sv,gasoline,49789.0,24723.0,50.34
nissan,armada platinum,gasoline,61770.0,30784.0,50.16
bmw,alpina b7 xdrive,gasoline,127638.0,63729.0,50.07
cadillac,escalade luxury,gasoline,91276.0,45602.0,50.04
toyota,sienna xle,gasoline,58613.0,29406.0,49.83
bmw,"540 i",gasoline,60614.0,30488.0,49.7
mercedes-benz,cla 250,gasoline,43544.0,22000.0,49.48
chevrolet,suburban ls,gasoline,62194.0,31438.0,49.45
bmw,"530e xdrive iperformance",gasoline,53650.0,27281.0,49.15
chevrolet,tahoe lt,gasoline,66429.0,33837.0,49.06
gmc,yukon denali,gasoline,84811.0,43202.0,49.06
porsche,cayenne turbo,gasoline,143579.0,73244.0,48.99
chevrolet,express 2500 work van,gasoline,64199.0,32798.0,48.91
audi,q3 premium,gasoline,36983.0,18899.0,48.9
