"brand","model","fuel_type","drop_percent"
acura,ilx base,gasoline,18.104641842162792
acura,ilx base,gasoline,30.842381403483206
acura,ilx premium package,gasoline,21.837762723640786
acura,ilx base,gasoline,12.599285870436495
acura,ilx,gasoline,24.041351520956503
acura,ilx premium package,gasoline,37.762723640785126
acura,ilx premium package,gasoline,22.54646517283307
acura,ilx premium package,gasoline,34.695153725898905
acura,ilx premium package,gasoline,20.114643043251693
acura,ilx base,gasoline,23.489761713910955
acura,ilx base,gasoline,22.156234059607957
acura,ilx base,gasoline,23.504335786635576
acura,ilx base,gasoline,16.381257742476134
acura,ilx base,gasoline,13.466443197551555
acura,ilx,gasoline,27.340885820920168
acura,ilx,gasoline,20.738514383855733
acura,ilx base,gasoline,36.245718866137146
acura,ilx premium package,gasoline,16.988014590932778
acura,ilx,gasoline,39.9180896389999
acura,ilx premium package,gasoline,27.74014243529616
acura,ilx premium & a-spec packages,gasoline,16.821434514894325
acura,ilx,gasoline,30.64702579515804
acura,ilx,gasoline,27.344188658057273
acura,ilx,gasoline,50.47395712917396
acura,ilx base,gasoline,9.276397289222475
acura,ilx base,gasoline,14.581359760985208
acura,ilx base,gasoline,27.147853967791296
acura,ilx premium package,gasoline,9.716866423484454
acura,ilx base,gasoline,27.88384464038475
acura,ilx base,gasoline,18.02084092399621
acura,ilx,gasoline,20.738514383855733
acura,ilx premium package,gasoline,33.09362515198888
acura,ilx,gasoline,44.18205238299699
acura,ilx premium & a-spec packages,gasoline,17.017806623398236
acura,ilx,gasoline,35.75981768339003
acura,ilx,gasoline,24.860455130957494
acura,ilx,gasoline,37.26260858077089
acura,ilx premium package,gasoline,18.360257078339412
acura,ilx premium package,gasoline,20.097272885183255
acura,ilx premium package,gasoline,25.315268368942156
acura,ilx base,gasoline,16.59986883334548
acura,ilx,gasoline,32.80708128282194
acura,ilx,gasoline,24.051260032367804
acura,ilx,gasoline,30.673448492254845
acura,ilx premium package,gasoline,13.166579815876325
acura,ilx base,gasoline,23.504335786635576
acura,ilx,gasoline,44.2018694058196
acura,ilx base,gasoline,20.993951759819282
acura,ilx,gasoline,32.968920302539885
acura,ilx base,gasoline,30.805946221671647
acura,ilx,gasoline,24.041351520956503
acura,ilx premium package,gasoline,34.69167969428521
acura,rdx advance package,gasoline,46.73645824797181
acura,rdx technology package,gasoline,30.352788164526096
acura,rdx,gasoline,34.94887068246966
acura,rdx technology package,gasoline,29.419142067491926
acura,rdx base,gasoline,38.847017718991765
acura,rdx advance package,gasoline,43.561009587806275
acura,rdx advance package,gasoline,39.56609030566254
acura,rdx advance package,gasoline,47.55797754650496
acura,rdx technology package,gasoline,51.22744269224516
acura,rdx advance package,gasoline,51.85610095878063
acura,rdx base,gasoline,36.36885450461692
acura,rdx,gasoline,57.40917684848238
acura,rdx base,gasoline,33.888195657599205
acura,rdx base,gasoline,37.621662091340156
acura,rdx technology package,gasoline,44.82894767401352
acura,rdx base,gasoline,31.407536810581483
acura,rdx technology package,gasoline,38.94372575887777
acura,rdx technology package,gasoline,53.561557934830574
acura,rdx advance package,gasoline,35.08153732688683
acura,rdx base,gasoline,20.142251060643872
acura,rdx,gasoline,49.179694647177215
acura,rdx advance package,gasoline,40.627304761124314
acura,rdx technology package,gasoline,44.27154701906775
acura,rdx technology package,gasoline,31.38397937617577
acura,rdx,gasoline,41.04779523877289
acura,rdx technology package,gasoline,37.524676591494995
acura,rdx,gasoline,47.16095061904084
acura,rdx advance package,gasoline,44.90084405474064
acura,rdx advance package,gasoline,52.90707203146767
acura,rdx advance package,gasoline,38.03368024256331
acura,rdx advance package,gasoline,44.695976399246085
acura,rdx base,gasoline,47.77888694784128
